Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
AAAIF,ALTERNATIVE INVSTMENT TR,Pink Current,0.000000,,0,Fund,,
AAALF,AAREAL BANK AG AKT,Pink Current,31.990000,,0,Foreign Ordinary Shares,Germany,
AAALY,AAREAL BANK AG UNSP/ADR,Pink Current,34.650000,,0,ADRs,Germany,
AABB,ASIA BROADBAND INC,Pink Current,0.028500,2.518000,8396652,Common Stock,USA,Nevada
AABVF,ABERDEEN INTL INC,Pink Current,0.032400,,0,Foreign Ordinary Shares,Canada,Ontario
AACAF,AAC TECHS HLDGS INC ORD,Pink Current,2.370000,0.000000,400,Foreign Ordinary Shares,China,
AACAY,AAC TECHS HLDGS UNSP/ADR,Pink Current,2.310400,-0.284900,3580,ADRs,China,
AACTF,AURORA SOLAR TECHNOLOGIES,Pink Current,0.029900,0.000000,6100,Foreign Ordinary Shares,Canada,British Columbia
AAEEF,ALTAIR RES INC ORD,Pink Current,0.035000,,0,Foreign Ordinary Shares,,
AAFRF,AIRTEL AFRICA PLC,Pink Current,1.320000,,0,Foreign Ordinary Shares,United Kingdom,England
AAGC,ALL AMERICAN GOLD CORP,Pink Current,0.000300,0.000000,2810000,Common Stock,USA,New York
AAGEF,AAG ENERGY HOLDINGS,Pink Current,0.167700,,0,Foreign Ordinary Shares,,
AAGFF,AFTERMATH SILVER LTD ORD,OTCQX International,0.177110,2.139600,20090,Foreign Ordinary Shares,Canada,British Columbia
AAGH,AMERICA GREAT HEALTH,Pink Current,0.009000,0.000000,13000,Common Stock,USA,California
AAGIY,AIA GROUP LTD S/ADR,Pink Current,39.500000,-0.603900,258328,ADRs,Hong Kong,
AAGRY,ASTRA AGRO LESTR UNSP/ADR,Pink Limited,2.440000,,0,ADRs,Indonesia,
AAHIF,ASAHI CO LTD ORD,Pink Limited,12.679050,,0,Foreign Ordinary Shares,Japan,
AAIGF,AIA GROUP LTD ORD,Pink Current,9.790000,-1.706800,16334,Foreign Ordinary Shares,Hong Kong,
AAIRF,AMERICAN AIRES INC,Pink Current,0.025100,-8.892900,300,Foreign Ordinary Shares,Canada,Ontario
AALBF,AALBERTS INDUS NV ORD,Pink Limited,43.143900,,87,Foreign Ordinary Shares,,
AAMMF,ALMADEX MINERALS LTD,Pink Current,0.180000,-22.846100,13664,Foreign Ordinary Shares,Canada,British Columbia
AAMTF,ARMADA MERCANTILE LTD,Pink Current,0.306000,,0,Foreign Ordinary Shares,USA,California
AANNF,AROUNDTOWN SA ORD,Pink Limited,1.270000,,0,Foreign Ordinary Shares,,
AAPJ,AAP INC,Pink Current,0.001400,7.692300,708257,Common Stock,USA,Wyoming
AAPT,ALL AMERICAN PET CO INC,Pink Limited,0.000100,0.000000,50433,Common Stock,China,
AARTY,AIRTEL AFRICA PLC ADR,Pink Current,13.950000,,6,ADRs,United Kingdom,England
AASP,GLOBAL ACQUISITIONS CORP,Pink Current,0.145000,-27.500000,9400,Common Stock,USA,Nevada
AASZF,ATLANTIC SAPPHIRE AS,OTCQX International,0.600000,,0,Foreign Ordinary Shares,USA,Florida
AATC,AUTOSCOPE TECHS CORP,OTCQX U.S.,4.360000,-1.133800,8316,Common Stock,USA,Minnesota
AATGF,ATI AIRTEST TECHS INC,Pink Current,0.011500,-0.862100,30000,Foreign Ordinary Shares,Canada,British Columbia
AATP,AGAPE ATP CORP,Pink Current,6.000000,,0,Common Stock,Malaysia,
AATV,ADAPTIVE AD SYSTEMS INC,Pink Current,0.360000,,0,Common Stock,USA,Washington
AAUGF,ANGOLD RES LTD,Pink Current,0.056800,,0,Foreign Ordinary Shares,Canada,British Columbia
AAUKF,ANGLO AMER PLC ORD.,OTCQX International Premier,28.270000,-0.671700,286,Foreign Ordinary Shares,United Kingdom,
AAVMY,ABN AMR BK N V UNSP/ADR,Pink Limited,16.117500,0.046600,5035,ADRs,The Netherlands,
AAVVF,ADVANTAGE ENERGY LTD,Pink Current,6.850000,1.481500,11528,Foreign Ordinary Shares,Canada,Alberta
AAWH,ASCEND WELLNESS HOLDNGS A,OTCQX U.S.,0.765100,8.802600,127436,Foreign Ordinary Shares,USA,New York
AAYYY,AUSTRALIAN AGRCL UNSP/ADR,Pink Current,9.720000,2.966100,100,ADRs,Australia,Queensland
ABAKF,ABRDN ASIA-PAC INCOME FD,Pink Current,1.880000,,0,Foreign Ordinary Shares,United Kingdom,
ABANF,AUTOMATIC BANK SERVICES,Pink Limited,4.500000,,0,Foreign Ordinary Shares,,
ABBAF,ABRDN ASIAN INCOME FUND,Pink Current,2.200000,,0,Foreign Ordinary Shares,United Kingdom,England
ABBB,AUBURN BANCORP INC,Pink Current,9.150000,0.000000,420,Common Stock,USA,Maine
ABBNY,ABB LTD SPONS ADR,Pink Current,37.800000,0.159000,133640,ADRs,Switzerland,
ABBRF,ABRASILVER RESOURCE CORP,OTCQX International,0.219900,3.263700,260773,Foreign Ordinary Shares,Canada,Ontario
ABCAF,ATHABASCA MINERALS INC,Pink Current,0.077000,,0,Foreign Ordinary Shares,Canada,Alberta
ABCCF,ABC ARBITRAGE SA ORD,Pink Limited,8.380000,,0,Foreign Ordinary Shares,,
ABCFF,ABACUS MINING & EXPL ORD,Pink Current,0.031000,0.000000,10002,Foreign Ordinary Shares,Canada,British Columbia
ABCP,AMBASE CORP,Pink Current,0.149800,3.310300,1325,Common Stock,USA,Florida
ABCZF,ABCAM PLC ORD,Pink Current,23.800000,,0,Foreign Ordinary Shares,United Kingdom,England
ABDDF,AB DYNAMICS PLC,Pink Current,33.000000,,0,Foreign Ordinary Shares,United Kingdom,
ABDXF,ABINGDON HEALTH LTD,Pink Current,0.070000,,0,Foreign Ordinary Shares,United Kingdom,
ABEPF,VISION LITHIUM INC,OTCQB,0.069280,4.652600,5929,Foreign Ordinary Shares,Canada,Quebec
ABGSF,ABG SUNDAL COLLIER ASA,Pink Limited,0.520000,,0,Foreign Ordinary Shares,,
ABHBY,ALFEN BEHEER B V ADR,Pink Limited,32.000000,,0,ADRs,,
ABIT,ATHENA BITCOIN GLOBAL,Pink Current,0.079900,14.306200,215293,Common Stock,USA,Illinois
ABLT,AMERICAN BILTRITE INC,Pink Limited,97.000000,,0,Common Stock,USA,Massachusetts
ABLZF,ABB LTD ZUERICH,Pink Current,38.800000,3.715600,1943,Foreign Ordinary Shares,Switzerland,
ABMBF,ABCOURT MINES INC B,Pink Current,0.038000,,0,Foreign Ordinary Shares,Canada,Quebec
ABMC,AMER BIO MEDICA CORP,Pink Current,0.009700,,0,Common Stock,USA,New York
ABML,AMERICAN BATTERY TECH CO,OTCQX U.S.,0.721900,-1.802400,1077588,Common Stock,USA,Nevada
ABMRF,ABN AMRO GRP NV ORD,Pink Limited,14.781000,,0,Other Security Type,The Netherlands,
ABMT,ADVANCED BIOMEDICAL TECHS,Pink Limited,0.031000,,0,Common Stock,USA,New York
ABNAF,ABEN MINERALS LTD,Pink Current,0.105000,0.000000,2500,Foreign Ordinary Shares,Canada,British Columbia
ABOIF,ABOITIZ EQUITY VNTRS INC,Pink Limited,0.770000,,0,Foreign Ordinary Shares,Philippines,
ABQQ,AB INTL GROUP CORP NEW,Pink Current,0.000200,0.000000,202254,Common Stock,USA,New York
ABRMF,ARBOR METALS CORP,Pink Current,2.564800,3.004000,1000,Foreign Ordinary Shares,,
ABSSF,AIRBOSS OF AMERICA CORP,OTCQX International,5.121000,,11,Foreign Ordinary Shares,Canada,Ontario
ABTI,ALTEROLA BIOTECH INC,Pink Current,0.012000,22.762100,166100,Common Stock,United Kingdom,England
ABTO,AB&T FINCL CORP (NC),Pink Current,0.430000,-4.444400,86207,Common Stock,USA,North Carolina
ABTZY,ABOITIZ EQTY VNT UNSP/ADR,Pink Limited,9.600000,,3,ADRs,Philippines,
ABXXF,ABAXX TECHNOLOGIES INC,OTCQX International,5.490000,-1.964300,8910,Foreign Ordinary Shares,Canada,Ontario
ABZPF,ABOITIZ POWER CORP,Pink Limited,0.640000,,0,Foreign Ordinary Shares,Philippines,
ABZPY,ABOITIZ POWER UNSP/ADR,Pink Limited,13.570000,,0,ADRs,Philippines,
ACAN,AMERICANN INC,OTCQB,0.190000,0.000000,7483,Common Stock,USA,Colorado
ACAZF,ACADIAN TIMBER CORP ORD,Pink Current,12.550000,0.416100,321,Foreign Ordinary Shares,Canada,New Brunswick
ACBD,ANNABIDIOL CORP,Pink Limited,0.700000,,0,Common Stock,USA,Massachusetts
ACBM,ARCO BIOMEDICAL CO LTD,Pink Limited,2.050000,,0,Common Stock,USA,Indiana
