date_id,date_iso_format,yearnumber,quarternumber,monthnumber,monthname,weekofmonth,daynumber,dayofweek,dayname,weekofyear
20180308,2018-03-08,2018.0,1.0,3.0,"March    ",2.0,8.0,4.0,"Thursday ",10
20180308,2018-03-08,2018.0,1.0,3.0,"March    ",2.0,8.0,4.0,"Thursday ",10
20180309,2018-03-09,2018.0,1.0,3.0,"March    ",2.0,9.0,5.0,"Friday   ",10
20180309,2018-03-09,2018.0,1.0,3.0,"March    ",2.0,9.0,5.0,"Friday   ",10
20180312,2018-03-12,2018.0,1.0,3.0,"March    ",2.0,12.0,1.0,"Monday   ",11
20180312,2018-03-12,2018.0,1.0,3.0,"March    ",2.0,12.0,1.0,"Monday   ",11
20180313,2018-03-13,2018.0,1.0,3.0,"March    ",2.0,13.0,2.0,"Tuesday  ",11
20180313,2018-03-13,2018.0,1.0,3.0,"March    ",2.0,13.0,2.0,"Tuesday  ",11
20180314,2018-03-14,2018.0,1.0,3.0,"March    ",2.0,14.0,3.0,Wednesday,11
20180314,2018-03-14,2018.0,1.0,3.0,"March    ",2.0,14.0,3.0,Wednesday,11
20180315,2018-03-15,2018.0,1.0,3.0,"March    ",3.0,15.0,4.0,"Thursday ",11
20180315,2018-03-15,2018.0,1.0,3.0,"March    ",3.0,15.0,4.0,"Thursday ",11
20180316,2018-03-16,2018.0,1.0,3.0,"March    ",3.0,16.0,5.0,"Friday   ",11
20180316,2018-03-16,2018.0,1.0,3.0,"March    ",3.0,16.0,5.0,"Friday   ",11
20180319,2018-03-19,2018.0,1.0,3.0,"March    ",3.0,19.0,1.0,"Monday   ",12
20180319,2018-03-19,2018.0,1.0,3.0,"March    ",3.0,19.0,1.0,"Monday   ",12
20180320,2018-03-20,2018.0,1.0,3.0,"March    ",3.0,20.0,2.0,"Tuesday  ",12
20180320,2018-03-20,2018.0,1.0,3.0,"March    ",3.0,20.0,2.0,"Tuesday  ",12
20180321,2018-03-21,2018.0,1.0,3.0,"March    ",3.0,21.0,3.0,Wednesday,12
20180321,2018-03-21,2018.0,1.0,3.0,"March    ",3.0,21.0,3.0,Wednesday,12
20180322,2018-03-22,2018.0,1.0,3.0,"March    ",4.0,22.0,4.0,"Thursday ",12
20180322,2018-03-22,2018.0,1.0,3.0,"March    ",4.0,22.0,4.0,"Thursday ",12
20180323,2018-03-23,2018.0,1.0,3.0,"March    ",4.0,23.0,5.0,"Friday   ",12
20180323,2018-03-23,2018.0,1.0,3.0,"March    ",4.0,23.0,5.0,"Friday   ",12
20180326,2018-03-26,2018.0,1.0,3.0,"March    ",4.0,26.0,1.0,"Monday   ",13
20180326,2018-03-26,2018.0,1.0,3.0,"March    ",4.0,26.0,1.0,"Monday   ",13
20180327,2018-03-27,2018.0,1.0,3.0,"March    ",4.0,27.0,2.0,"Tuesday  ",13
20180327,2018-03-27,2018.0,1.0,3.0,"March    ",4.0,27.0,2.0,"Tuesday  ",13
20180328,2018-03-28,2018.0,1.0,3.0,"March    ",4.0,28.0,3.0,Wednesday,13
20180328,2018-03-28,2018.0,1.0,3.0,"March    ",4.0,28.0,3.0,Wednesday,13
20180329,2018-03-29,2018.0,1.0,3.0,"March    ",5.0,29.0,4.0,"Thursday ",13
20180329,2018-03-29,2018.0,1.0,3.0,"March    ",5.0,29.0,4.0,"Thursday ",13
20180402,2018-04-02,2018.0,2.0,4.0,"April    ",1.0,2.0,1.0,"Monday   ",14
20180402,2018-04-02,2018.0,2.0,4.0,"April    ",1.0,2.0,1.0,"Monday   ",14
20180403,2018-04-03,2018.0,2.0,4.0,"April    ",1.0,3.0,2.0,"Tuesday  ",14
20180403,2018-04-03,2018.0,2.0,4.0,"April    ",1.0,3.0,2.0,"Tuesday  ",14
20180404,2018-04-04,2018.0,2.0,4.0,"April    ",1.0,4.0,3.0,Wednesday,14
20180404,2018-04-04,2018.0,2.0,4.0,"April    ",1.0,4.0,3.0,Wednesday,14
20180405,2018-04-05,2018.0,2.0,4.0,"April    ",1.0,5.0,4.0,"Thursday ",14
20180405,2018-04-05,2018.0,2.0,4.0,"April    ",1.0,5.0,4.0,"Thursday ",14
20180406,2018-04-06,2018.0,2.0,4.0,"April    ",1.0,6.0,5.0,"Friday   ",14
20180406,2018-04-06,2018.0,2.0,4.0,"April    ",1.0,6.0,5.0,"Friday   ",14
20180409,2018-04-09,2018.0,2.0,4.0,"April    ",2.0,9.0,1.0,"Monday   ",15
20180409,2018-04-09,2018.0,2.0,4.0,"April    ",2.0,9.0,1.0,"Monday   ",15
20180410,2018-04-10,2018.0,2.0,4.0,"April    ",2.0,10.0,2.0,"Tuesday  ",15
20180410,2018-04-10,2018.0,2.0,4.0,"April    ",2.0,10.0,2.0,"Tuesday  ",15
20180411,2018-04-11,2018.0,2.0,4.0,"April    ",2.0,11.0,3.0,Wednesday,15
20180411,2018-04-11,2018.0,2.0,4.0,"April    ",2.0,11.0,3.0,Wednesday,15
20180412,2018-04-12,2018.0,2.0,4.0,"April    ",2.0,12.0,4.0,"Thursday ",15
20180412,2018-04-12,2018.0,2.0,4.0,"April    ",2.0,12.0,4.0,"Thursday ",15
20180413,2018-04-13,2018.0,2.0,4.0,"April    ",2.0,13.0,5.0,"Friday   ",15
20180413,2018-04-13,2018.0,2.0,4.0,"April    ",2.0,13.0,5.0,"Friday   ",15
20180416,2018-04-16,2018.0,2.0,4.0,"April    ",3.0,16.0,1.0,"Monday   ",16
